"Model","Component","Fishery","nloglike"
"OneSex","catch","1",-47.8975
"OneSex","cpue","1",114.4618
"OneSex","size_comp","1",-1040.2494
"OneSex","rec_dev","1",152.5207
"OneSex","growth_inc","1",0
"OneSex","catch","2",205.3939
"OneSex","cpue","2",-1.3657
"OneSex","size_comp","2",-323.0848
"OneSex","rec_dev","2",NA
"OneSex","growth_inc","2",NA
"OneSex","catch","3",-65.798
"OneSex","cpue","3",NA
"OneSex","size_comp","3",-722.2281
"OneSex","rec_dev","3",NA
"OneSex","growth_inc","3",NA
"OneSex","catch","4",NA
"OneSex","cpue","4",NA
"OneSex","size_comp","4",289.1403
"OneSex","rec_dev","4",NA
"OneSex","growth_inc","4",NA
"OneSex","catch","5",NA
"OneSex","cpue","5",NA
"OneSex","size_comp","5",-1.8785
"OneSex","rec_dev","5",NA
"OneSex","growth_inc","5",NA
"OneSex","catch","6",NA
"OneSex","cpue","6",NA
"OneSex","size_comp","6",49.7995
"OneSex","rec_dev","6",NA
"OneSex","growth_inc","6",NA
